id	source	translation
20	真宗既渡河，遂幸澶淵之北門。	真 宗 渡 過 黄 河 後 ， 於 是 前 往 淵 的 北 門 。
21	望見黃蓋，士氣百倍，呼聲動地。	望 見 黄 蓋 ， 士 氣 百 倍 ， 呼 喊 聲 震 動 天 地 。
22	兵既接，射殺其帥順國王撻覽，虜懼，遂請和。	軍 隊 接 到 ， 射 殺 了 他 的 統 帥 順 國 王 撻 覽 ， 虜 人 害 怕 ， 於 是 請 求 講 和 。
23	澶淵之役，詔諸道會兵而合擊。	淵 之 戰 ， 詔 令 各 道 會 合 軍 隊 而 合 力 攻 擊 。
24	既和，縱其去。	和 好 以 後 ， 放 他 離 去 。
25	又詔諸將按兵，遣使監楊延朗。	又 詔 令 諸 將 按 兵 ， 派 遣 使 臣 監 督 楊 延 朗 。
26	時虜使在館，既諭旨，遽曰：“請遣中官，貴諸將取信一也。”	當 時 虜 使 在 館 舍 ， 宣 讀 聖 旨 後 ， 立 即 説 ： 請 派 宦 官 ， 貴 於 諸 將 取 信 。
27	而虜亦請使送款，遂以全歸，懷之至今。	而 虜 人 也 請 求 派 使 者 送 信 ， 於 是 把 全 部 歸 還 ， 懷 念 到 今 天 。
28	澶淵之役，真宗使候萊公。	淵 之 戰 ， 真 宗 派 候 萊 公 。
29	曰：“相公飲酒矣！”“唱曲子矣！”“擲骰子矣！鼾睡矣！”	説 ： 相 公 飲 酒 了 ！ 唱 《 曲 子 子 》 啊 ！ 抛 擲 骰 子 了 ！ 睡 覺 了!
30	澶淵之役寇准上真宗書	淵 之 戰 ， 寇 準 上 呈 真 宗 書 信 給 真 宗 。
31	萊公既逐死，家無遺文。	萊 萊 公 被 驅 逐 而 死 後 ， 家 裏 没 有 遺 留 的 文 字 。
32	嘉祐中始得奏章一紙，憂其復失而並記之，使後者有考焉。	嘉 祐 年 間 纔 得 到 奏 章 一 張 ， 擔 心 他 又 再 次 失 去 記 録 而 并 且 記 録 下 來 ， 使 後 人 有 所 考 考 。
33	曰：臣奉聖旨擘畫河北邊事及駕起與不起、如起至何處者。	説 ： 臣 奉 聖 旨 籌 劃 河 北 邊 事 以 及 駕 駕 不 起 、 如 果 起 身 到 什 麽 地 方 。
34	一、近邊奏契丹遊騎已至深、祁，竊緣三路大軍見在定州，魏能、張凝、楊延朗、田敏等又在威虜軍等處，東路深、趙、貝、冀、滄、德等州別無大軍駐泊，必虜契丹漸近東南下寨，輕騎打劫，不惟老小驚駭，便恐盜賊團聚，直至大名府以來，人戶驚移。	一 、 近 邊 報 告 契 丹 的 騎 兵 已 經 到 達 深 州 、 祁 州 ， 私 下 認 爲 三 路 大 軍 已 在 定 州 ， 魏 能 、 張 凝 、 楊 延 朗 、 田 敏 等 人 又 在 威 虜 軍 等 處 ， 東 路 深 、 趙 、 貝 、 冀 、 滄 、 德 等 州 没 有 大 軍 駐 扎 ， 必 定 虜 人 逐 漸 靠 近 東 南 下 寨 ， 輕 騎 打 劫 劫 掠 ， 不 祇 是 老 小 驚 慌 ， 就 恐 怕 有 盗 賊 聚 集 ， 直 到 大 名 府 以 來 ， 人 户 驚 慌 。
35	若不早張軍勢，竊恐轉啟戎心。	如 果 不 早 設 軍 勢 ， 臣 私 下 恐 怕 轉 而 啓 動 戎 心 。
36	臣乞先那起天雄軍馬萬人，令周瑩、杜彥鈞、孫全照將領往貝州駐泊，或恐天雄軍少，且起五千人，只令孫全照部轄。	臣 請 求 先 起 用 天 雄 軍 馬 一 萬 人 ， 命 令 周 瑩 、 杜 彥 鈞 、 孫 全 照 帶 領 領 軍 隊 前 往 貝 州 駐 扎 ， 有 人 擔 心 天 雄 的 士 兵 少 ， 暫 且 徵 調 五 千 人 ， 祇 令 孫 全 監 管 。
37	若虜騎在近，即近城覓便襲擊，兼令間道將文字與石普、閻承翰照會掩殺，及召募強壯人虜界，燒蕩鄉村，仍照管南北道，多差人探候契丹，次第聞奏，及報大名。	如 果 敵 人 騎 兵 在 近 處 ， 就 在 近 城 找 便 宜 襲 擊 ， 并 且 命 令 間 道 將 文 字 與 石 普 、 閻 承 翰 照 例 掩 殺 ， 以 及 招 募 强 壯 人 户 入 侵 ， 燒 毁 鄉 村 ， 仍 舊 管 理 南 北 道 ， 多 派 人 探 察 契 丹 ， 逐 漸 報 告 朝 廷 ， 等 到 報 告 大 名 。
38	一則貴安人心；二則張軍勢以疑敵謀；三則邊將聞王師北來，軍威益壯；四則與邢、洛不遠，成犄角之勢。	一 一 則 貴 在 安 定 人 心 ； 二 則 張 大 軍 勢 來 懷 疑 敵 人 的 陰 謀 ； 三 則 邊 將 聽 説 王 師 北 來 ， 軍 威 更 加 壯 大 ； 四 則 與 邢 州 、 洛 州 不 遠 ， 成 爲 犄 角 之 勢 。
39	一、隨駕諸軍，扈衛宸居，不可與犬戎交鋒原野，以爭勝負。	一 一 、 隨 駕 諸 軍 ， 隨 從 皇 帝 在 皇 帝 身 邊 ， 不 可 與 犬 戎 在 原 野 交 戰 ， 以 争 勝 負 。
40	天雄至貝，軍士不過三萬人，萬一契丹過貝下寨，遊騎益南，即須那起定州軍馬三萬以上，令桑贊等結陣南來鎮州，及令河東雷有終將兵出土門路與贊會合，相度事勢緊慢，那至邢、洛，方可聖駕順動，且幸大名，假萬乘之天聲，合數路之兵勢，更令王超等千定州近城排布，照應魏能、張凝、楊延朗、田敏等，作會合次第及依前來累降指揮牽拽。	天 雄 到 達 貝 州 ， 士 兵 不 過 三 萬 人 ， 萬 一 契 丹 經 過 貝 下 寨 ， 游 騎 越 來 越 多 ， 就 必 須 派 定 州 軍 馬 三 萬 以 上 ， 命 令 桑 贊 等 人 在 定 州 南 面 分 兵 南 下 鎮 州 ， 并 令 河 東 雷 有 終 率 兵 出 土 門 路 與 張 贊 會 合 ， 計 劃 事 情 緊 急 ， 到 達 邢 州 、 洛 州 ， 纔 可 以 聖 旨 聖 駕 順 行 ， 而 且 前 往 大 名 ， 借 萬 乘 的 聲 勢 ， 合 數 路 的 兵 力 ， 與 幾 路 的 軍 隊 相 應 ， 再 命 令 王 超 等 千 定 州 附 近 城 墻 排 列 ， 按 照 魏 能 、 張 凝 、 楊 延 朗 、 田 敏 等 人 ， 作 爲 會 合 依 次 依 次 的 規 定 ， 以 及 會 合 以 前 的 幾
41	一、恐契丹置寨於真、定之間，則定州軍馬抽那不起，邢、洛之北，遊騎侵掠，大名東北縣分，老小大段驚移，須分定州三路精兵，令在彼將帥會合，及令魏能、張凝、楊延朗、田敏等漸那向東，傍城寨牽拽。	一 、 恐 怕 契 丹 在 真 、 定 之 間 設 寨 ， 則 定 州 軍 馬 抽 不 起 ， 邢 州 、 洛 州 之 北 ， 游 騎 侵 掠 ， 大 名 東 北 縣 分 ， 老 小 大 驚 ， 必 須 分 定 定 州 三 路 精 兵 ， 令 在 那 裏 的 將 帥 會 合 ， 命 令 魏 能 、 張 凝 、 楊 延 朗 、 田 敏 等 逐 漸 遷 往 東 部 ， 靠 近 城 寨 牽 制 。
42	如此，則契丹必有後顧之憂，未敢輕議懸軍深入。	如 此 ， 那 麽 契 丹 一 定 會 有 後 顧 之 憂 ， 不 敢 輕 易 議 論 軍 隊 深 入 。
43	若車駕不起，轉恐夷狄殘害生靈，如蒙允許，亦須過大河，且幸澶淵，就近易為制置會合，兼控扼津梁。	如 如 皇 帝 不 起 ， 轉 而 恐 怕 夷 狄 殘 害 百 姓 ， 如 果 蒙 受 允 許 ， 也 必 經 經 過 大 河 ， 暫 時 到 達 淵 ， 就 近 地 容 易 制 置 會 合 ， 并 且 控 制 扼 守 河 梁 。
44	右臣叨列宰司，素無奇略，既承清問，合罄鄙誠。	右 臣 濫 列 宰 相 ， 素 來 没 有 奇 才 ， 既 然 接 受 清 問 ， 應 當 竭 盡 鄙 心 。
45	伏惟皇帝陛下，睿知淵深，聖猷宏遠，固已坐籌而決勝，尚能虛己以詢謀，兼彼犬戎頗乏糧糗，雖恃腥膻之眾，必懷首尾之憂，豈敢不顧大軍，但圖深入？然亦慮其凶狡，須至過有防虞。	臣 下 認 爲 皇 帝 陛 下 ， 睿 智 淵 深 ， 聖 謀 宏 遠 ， 已 經 坐 視 籌 劃 而 决 勝 ， 還 能 虚 心 籌 劃 ， 還 要 虚 心 謀 劃 ， 加 上 犬 戎 頗 爲 缺 乏 糧 草 ， 雖 然 依 仗 腥 膻 之 衆 ， 一 定 會 懷 疑 首 尾 之 憂 ， 怎 敢 不 顧 慮 大 軍 ， 祇 想 深 入 敵 軍 ， 不 必 過 分 防 備 。 然 而 也 擔 心 他 們 凶 狠 狡 猾 ， 必 須 有 過 分 的 防 範 。
46	煩黷天威，伏增戰慄。	煩 煩 擾 上 天 威 嚴 ， 伏 兵 增 加 戰 慄 。
47	始講和，虜使韓祀匿其善飲，曰：“兩國初好，數杯之後，一言有失，所誤非細。”	開 始 講 和 ， 虜 使 韓 祀 隱 秘 地 隱 瞞 他 飲 酒 ， 説 ： 兩 國 開 始 和 好 ， 幾 杯 酒 後 ， 一 點 錯 誤 ， 所 造 成 的 不 小 。
48	後使姚柬之，既去而顧，手顙再三，是以知虜之情也。	後 後 來 出 使 姚 柬 之 ， 離 去 後 回 頭 ， 手 手 再 三 三 三 ， 因 此 知 道 敵 人 的 情 况 。
49	姚柬之曰：“宋之事力，契丹之士馬皆盛，然北軍用于阻隘，不能敵南；平原馳突，南軍亦不能支也。”	姚 柬 之 説 ： 宋 朝 的 事 力 ， 契 丹 的 士 馬 都 很 多 ， 然 而 北 方 軍 隊 在 險 要 之 地 ， 不 能 抵 擋 南 方 ； 平 原 馳 突 ， 南 軍 也 不 能 支 撑 。
50	慶歷二年，西羌盜邊，戰未解，契丹保境使請關南十縣之地及昏。	慶 歷 二 年 ， 西 羌 侵 犯 邊 境 ， 戰 鬥 尚 未 解 除 ， 契 丹 保 境 使 請 求 關 押 關 南 十 縣 以 及 黄 昏 。
51	丞相申公使其黨御史中丞賈文元公館之，許昏與加賜使擇焉，而遣知制浩富韓公諭意。	丞 相 申 公 派 他 的 同 黨 御 史 中 丞 賈 文 元 到 他 家 ， 允 許 他 加 賜 賞 賜 ， 而 派 知 制 誥 富 韓 公 曉 諭 他 。
52	既見問故，虜主曰：“宋塞鴈門、廣塘水、繕城隍、籍民兵，非違約邪？群臣亟請用兵，孤謂不若求地也。”	他 見 到 後 詢 問 原 因 ， 虜 人 主 人 説 ： 宋 朝 堵 塞 雁 門 、 廣 塘 水 、 修 築 城 壕 、 收 集 民 兵 ， 這 不 是 違 背 約 束 嗎 ？ 群 臣 急 忙 請 求 用 兵 ， 我 認 爲 不 如 求 得 土 地 。
53	公曰：“契丹忘章聖之大德乎？澶淵之役，使從眾，契丹無還者，寧有今日耶？且契丹之所欲，戰爾，戰非契丹之利也。	公 説 ： 契 丹 忘 了 章 聖 的 大 德 嗎 ？ 淵 之 戰 ， 派 人 隨 從 ， 契 丹 没 有 返 回 的 ， 難 道 有 今 天 嗎 ？ 况 且 契 丹 的 願 望 ， 是 戰 鬥 罷 了 ， 戰 不 是 契 丹 之 利 。
54	從古至今，夷狄得志於中國，惟晉氏爾。	從 古 到 今 ， 夷 狄 得 志 於 中 原 ， 祇 有 晋 氏 罷 了 。
55	方是時，主弱而愚，國小而貧，政刑不修，命令不行，百姓內潰。	當 時 ， 君 主 弱 小 而 愚 昧 ， 國 家 小 而 貧 困 ， 政 令 不 修 ， 命 令 不 施 行 ， 百 姓 内 潰 。
56	諸將外叛，故契丹能得志。	諸 將 外 叛 ， 所 以 契 丹 能 够 得 志 。
57	然土地不守，子女玉帛歸于臣民，契丹蓋無得也。	然 而 土 地 不 守 ， 子 女 玉 帛 歸 屬 臣 民 ， 契 丹 大 概 没 有 得 到 。
58	而人畜械器，亡者大半，故德光死，述律怒不肯葬，曰：‘待我國中人馬如故，然後葬汝！’戰而勝，其害如此，況不勝邪！今契丹與宋好，歲得金繒數十萬，入于府庫，國之利也。	而 人 們 的 牲 畜 器 械 ， 死 亡 的 大 半 ， 所 以 德 光 死 了 ， 述 律 發 怒 不 肯 埋 葬 ， 説 ： 等 我 國 國 中 人 馬 馬 匹 如 果 不 能 安 葬 ， 就 埋 葬 你 們 ！ 戰 争 而 取 勝 ， 其 害 處 就 是 如 此 ， 何 况 不 能 取 勝 呢 ！ 如 今 契 丹 與 宋 國 講 和 ， 每 年 得 到 金 銀 數 十 萬 ， 進 入 府 庫 ， 入 於 國 庫 ， 是 國 家 的 利 益 。
59	故和則上得其利，戰則下得其利，上受其弊。	所 以 和 諧 則 上 得 其 利 ， 戰 則 下 獲 利 ， 上 則 上 受 其 弊 。
60	故契丹之臣，皆願解和而構戰，與國爭利，奈何舍己之利以利人邪？”主大悟，點首久之。	所 以 契 丹 的 臣 子 ， 都 願 意 解 决 和 好 ， 與 國 家 争 利 ， 怎 麽 能 捨 棄 自 己 的 利 益 來 利 益 百 姓 呢? 契 丹 君 主 大 爲 醒 悟 ， 叩 頭 了 很 久 。
61	公復曰：“塞鴈門以備羌，塘始于何承矩，事在約前，地卑水聚，歲久則廣；城隍完故，民兵補缺，非違約也。	公 又 説 ： 堵 塞 雁 門 以 防 羌 寇 ， 塘 起 於 何 承 矩 ， 事 情 在 約 束 前 ， 地 低 水 聚 ， 年 久 就 擴 大 ； 城 隍 完 好 ， 民 兵 補 缺 ， 不 是 違 背 約 束 。
62	晉遺盧龍，周取關南，皆異代事。	晋 取 盧 龍 ， 周 取 關 南 ， 都 是 異 代 的 事 。
63	若按圖而求舊，豈契丹之利也哉！皇帝以兼愛為心，守祖宗之約，不願用兵，顧兄弟之義，不欲違情，而為天保民，為先保土，不得以與人。	如 果 按 圖 謀 求 舊 ， 難 道 是 契 丹 的 利 益 嗎 ！ 皇 帝 以 兼 愛 爲 心 ， 遵 守 祖 宗 的 約 束 ， 不 願 用 兵 ， 顧 念 兄 弟 之 義 ， 不 想 違 背 情 願 ， 而 爲 天 保 民 ， 爲 先 保 護 土 地 ， 不 能 把 人 民 分 給 别 人 。
64	謂契丹乏金幣，歲遺以永誓好。	説 契 丹 缺 乏 金 幣 ， 每 年 送 來 永 遠 結 爲 盟 誓 。
65	古者敵國有無相通，必皆欲背約絕好而加兵，宋安得而避哉！且澶淵之盟，天地臨之，其可欺乎！”乃請昏，公曰；“兄弟之國，禮不通昏，男女之際，易以生隙，且命修短不可期，不若歲幣之久也。”	古 代 敵 國 有 無 相 通 ， 一 定 要 背 棄 盟 約 斷 絶 和 好 而 加 强 兵 力 ， 宋 朝 怎 能 逃 避 呢 ！ 况 且 淵 的 盟 約 ， 天 地 臨 近 ， 那 麽 天 地 就 可 以 欺 騙 呢 ！ 於 是 請 求 結 婚 ， 公 説 ： 兄 弟 之 國 ， 禮 不 通 婚 ， 男 女 之 間 ， 容 易 産 生 嫌 隙 ， 而 且 命 令 修 訂 婚 姻 的 時 間 不 可 以 長 久 ， 而 命 令 的 長 短 不 能 長 期 約 定 ， 不 如 歲 幣 的 長 久 。
66	始，契丹請婚，欲因以多求，及公固拒，群議未決而難其久，又謂空言無實，使歸取誓書。	起 初 ， 契 丹 請 求 結 婚 ， 想 藉 機 求 婚 ， 等 到 公 正 堅 决 拒 絶 ， 衆 議 尚 未 决 定 ， 又 説 空 言 無 實 ， 讓 他 回 去 取 誓 書 。
67	及再至，定增歲幣二十萬。	等 到 再 來 ， 確 定 增 加 每 年 幣 帛 二 十 萬 貫 。
68	始，契丹一請，宰相遽塞以二事，且使自擇，遂以為怯，有輕宋心，欲以增幣為“獻”與“納”，公不可，曰：“此下事上，臣事君，乃非敵國之禮也。	當 初 ， 契 丹 一 次 請 求 ， 宰 相 立 即 堵 塞 二 件 事 ， 并 且 讓 自 己 挑 選 ， 於 是 認 爲 他 怯 懦 ， 有 輕 視 宋 朝 的 心 意 ， 公 不 同 意 ， 説 ： 這 是 下 面 事 奉 皇 上 ， 臣 下 事 奉 君 王 ， 這 不 是 敵 國 的 禮 節 。
69	且章聖已有歲遺，不為此名，貨非國之輕重，鄙而失國，古雖小亦不為也。”	况 且 章 聖 已 經 有 了 一 年 的 遺 留 ， 不 作 爲 這 種 名 稱 ， 貨 物 不 是 國 家 的 輕 重 ， 鄙 視 而 失 去 國 家 ， 古 代 雖 然 小 國 也 不 做 這 樣 。
70	主曰：“古有之，何獨吝邪？”公曰：“古惟唐高祖臣事突厥，假其兵而取隋，則或有之；及太宗擒頡利、突利兩可汗，寧複有邪！”主不語，其臣劉四知侍，退數步。	主 上 説 ： 古 代 有 這 樣 的 ， 爲 什 麽 祇 吝 惜 呢? 公 説 : 古 時 祇 有 唐 高 祖 臣 事 奉 突 厥 ， 藉 助 他 們 的 兵 力 攻 取 隋 朝 ， 那 麽 就 會 有 了 ； 等 到 太 宗 擒 獲 頡 利 、 突 利 兩 可 汗 ， 哪 裏 又 有 呢! 太 宗 没 有 話 ， 他 的 臣 子 劉 四 知 侍 ， 退 走 了 幾 步 。
71	公又曰：“石晉亦因契丹而得國，不惟稱臣，亦父事之，或可用此。	公 又 説 ： 石 晋 也 因 契 丹 而 得 國 ， 不 僅 稱 臣 ， 也 是 父 親 事 奉 他 ， 或 許 可 以 用 這 種 辦 法 。
72	今宋與契丹，無唐、晉之援，而為敵國，豈有此邪！”將退，主曰：“卿謂孤故作此一節必不可事，豈非不欲保和邪！孤實無此意，卿歸勿為此言，恐誤宋大事耳。”	如 今 宋 與 契 丹 ， 没 有 唐 、 晋 的 援 助 ， 而 成 爲 敵 國 ， 難 道 有 這 樣 嗎 ！ 將 要 退 兵 ， 主 上 説 ： 你 認 爲 我 認 爲 你 故 意 作 此 一 節 必 定 不 能 成 事 ， 豈 不 是 不 想 保 持 和 好 呢 ！ 我 實 在 没 有 這 種 意 思 ， 你 回 去 不 要 説 這 種 話 ， 恐 怕 會 誤 了 宋 朝 大 事 。
73	於是留誓書。	於 是 留 下 誓 書 。
74	而使以誓書來，且求“獻納”，公上奏曰：“臣既以死拒之，虜氣折矣，可勿復許，	而 而 派 使 者 帶 着 誓 書 來 ， 并 且 請 求 獻 納 ， 公 上 奏 説 ： 臣 已 經 以 死 拒 絶 他 們 ， 敵 人 氣 勢 衰 敗 ， 可 以 不 再 答 應 ， 可 不 再 許 可 。
75	虜無能為也。”	敵 人 没 有 什 麽 辦 法 。
76	仁宗從之。	仁 宗 聽 從 了 他 的 意 見 。
77	韓公再使，將見，契丹曰：“主將為公使不能久，有言可即道。”	韓 公 再 次 出 使 ， 將 要 拜 見 ， 契 丹 人 説 ： 主 將 爲 公 派 使 臣 不 能 長 期 ， 有 人 説 可 以 就 路 了 。
78	公恐虜使來遂以為例。	公 怕 虜 使 來 的 使 者 來 就 以 此 作 爲 常 例 。
79	數請對，曰：“吾不敢也，當與君議於館爾。”	多 次 請 求 對 答 ， 説 ： 我 不 敢 ， 應 當 與 您 在 館 舍 商 議 。
80	契丹劉六符貴用事，建議割地。	契 丹 劉 六 符 當 權 ， 建 議 割 地 。
81	及館客，怒謂韓公曰：“公為主言‘諸臣利於用兵，不為國計’，六符豈欲間兩國邪？”公曰：“君寧出此，顧餘人為之爾。	等 待 館 客 ， 大 怒 地 對 韓 公 説 ： 公 爲 君 主 説 各 位 大 臣 利 於 用 兵 ， 不 爲 國 家 考 慮 ， 六 符 難 道 想 要 隔 間 兩 國 嗎 ？ 韓 公 說 ： 您 寧 可 出 此 ， 祇 是 祇 有 其 他 人 做 罷 了 。
82	如宋不過弼數輩不欲戰爾，其以戰說者何限！”六符既喜且懼，然終以此得罪也。	如 宋 朝 不 過 僅 僅 是 李 弼 幾 個 人 不 想 戰 鬥 罷 了 ， 他 們 以 戰 争 而 説 的 有 什 麽 限 度 ！ 六 符 既 然 喜 歡 而 又 害 怕 ， 但 最 終 因 此 而 獲 罪 。
83	契丹犯澶淵，急書日至，一夕凡五至，萊公不發封，談笑自如。	契 契 侵 犯 淵 ， 急 速 的 書 信 一 天 就 到 達 ， 一 夜 共 五 次 上 奏 ， 萊 公 不 開 封 ， 談 笑 自 如 。
84	明日見同列以聞，真宗大駭，取而發之，皆告急也，又大俱，以間，公曰：“陛下欲了欲未了耶？”曰：“國危如此，豈欲久耶！”曰：“陛下欲了，不過五日爾。”	"第 二 天 見 到 同 僚 上 奏 ， 真 宗 非 常 驚 駭 ， 取 出 而 發 ， 都 是 告 急 ， 又 大 舉 出 發 ， 用 間 間 來 勾 結 ， 公 説 ： 陛 下 想 要 完 成 希 望 還 没 有 完 成 嗎? 説 : 國 家 危 險 如 此 ， 難 道 想 長 久 嗎! 説 ： "" 陛 下 要 想 完 成 ， 不 過 過 五 天 罷 了 。"
85	其說請幸澶淵。	他 的 建 議 請 求 皇 帝 前 往 淵 。
86	真宗不語，同列懼，欲退，公曰：“士安等止，候駕起，從駕而北。”	真 宗 不 説 話 ， 同 僚 害 怕 ， 想 退 下 ， 公 説 ： 士 安 等 人 停 止 ， 等 皇 帝 起 身 ， 跟 從 皇 帝 而 北 。
87	真宗難之，欲還內，公曰：“陛下既入，則臣不得到又不得見，則大事去矣！請無還內而行也。”	真 宗 問 他 ， 想 回 宫 ， 公 説 ： 陛 下 已 經 入 宫 ， 那 麽 臣 不 能 到 來 ， 就 大 事 不 能 再 見 ， 就 會 大 事 離 去 了 ！ 請 求 不 要 回 内 而 行 。
88	遂行，六軍百司，追而及之。	於 是 出 發 ， 六 軍 百 司 ， 追 上 他 們 。
89	東都曹生評范純仁司馬光	東 都 曹 生 評 論 范 純 仁 司 馬 光 。
90	東都曹生言：“范右相既貴，接親舊情禮如故，他亦不改世未有也。	東 都 曹 生 説 ： 范 右 相 既 然 顯 貴 ， 接 待 親 舊 的 禮 節 如 故 ， 他 也 不 改 變 世 代 没 有 這 樣 的 。
91	然體面肥白潔澤，豈其胸中亦以為樂邪？惟司馬溫公枯瘦自如，豈非不以富貴動其心邪！”	然 而 身 體 肥 白 白 澤 ， 難 道 他 胸 中 也 是 這 樣 的 嗎 ？ 祇 有 司 馬 温 公 枯 瘦 自 如 ， 豈 不 是 不 因 爲 富 貴 而 動 摇 他 的 心 思 呢!
92	王荊公改科舉，暮年乃覺其失，曰：“欲變學究為秀才，不謂變秀才為學究也。”	王 荆 公 改 科 舉 考 試 ， 晚 年 纔 覺 得 失 誤 ， 説 ： 想 改 學 究 爲 秀 才 ， 不 是 説 改 秀 才 爲 學 究 。
93	蓋舉子專誦王氏章句，而不解義，正如學究誦註疏爾。	大 概 是 舉 子 專 門 誦 讀 王 氏 的 章 句 ， 而 不 解 釋 義 理 ， 正 如 學 者 誦 讀 《 注 疏 》 罷 了 。
94	教坊雜戲，亦曰“學《詩》於陸農師，學《易》於龔深之”，蓋譏士之寡聞也。	教 坊 雜 戲 ， 也 叫 陸 農 師 ， 學 習 《 易 》 深 之 ， 大 概 是 譏 諷 士 人 寡 聞 。
95	王無咎、黎宗孟皆為王氏學，世謂黎為“模畫手”，一點畫不出前人，謂王為“轉般倉”，致無贏餘，但有所欠。	王 無 咎 、 黎 宗 孟 都 是 王 氏 的 學 問 ， 世 人 稱 王 黎 爲 模 畫 手 ， 一 點 畫 不 出 前 人 ， 稱 王 王 爲 轉 般 倉 ， 致 使 没 有 多 餘 ， 祇 有 有 所 欠 。
96	以其因人成能，無自得也。	因 爲 他 們 根 據 人 才 而 成 就 自 己 的 能 能 ， 没 有 自 己 得 到 。
